iter	Logloss
0	0.6930877983
1	0.6930507343
2	0.6930153093
3	0.6929753604
4	0.6929464978
5	0.6929207792
6	0.692907123
7	0.6928625032
8	0.6928412672
9	0.6928181053
10	0.692771997
11	0.6927358239
12	0.6927170976
13	0.6926941983
14	0.6926524143
15	0.6926187293
16	0.6925817494
17	0.69254031
18	0.6925271373
19	0.6924851378
20	0.6924560461
21	0.6924302011
22	0.6924011684
23	0.6923554545
24	0.6923112093
25	0.6922674011
26	0.6922337175
27	0.6921944994
28	0.6921583977
29	0.6921242369
30	0.6921079159
31	0.6920660766
32	0.6920382219
33	0.6920374437
34	0.6920052275
35	0.6919822556
36	0.691951567
37	0.6919235544
38	0.6919089267
39	0.6918736973
40	0.6918423223
41	0.6918056177
42	0.6917685701
43	0.6917387044
44	0.6916977495
45	0.6916933127
46	0.6916695917
47	0.691630508
48	0.6916117208
49	0.6915863859
50	0.6915591642
51	0.6915266638
52	0.6915011213
53	0.6914718504
54	0.6914495098
55	0.691433919
56	0.6914050319
57	0.6913808237
58	0.691347788
59	0.6913341837
60	0.6913122474
61	0.6912737743
62	0.6912518684
63	0.6912288088
64	0.6911903838
65	0.6911712574
66	0.6911384082
67	0.6911066982
68	0.6910822154
69	0.6910474903
70	0.6910300567
71	0.6910082594
72	0.6909894044
73	0.6909654141
74	0.6909385407
75	0.6909212573
76	0.6909056791
77	0.6908842428
78	0.6908618944
79	0.6908465058
80	0.6908267644
81	0.6907959328
82	0.6907753935
83	0.6907479201
84	0.6907310037
85	0.690713885
86	0.6906876662
87	0.6906684335
88	0.6906405385
89	0.690611166
90	0.6905725016
91	0.6905477044
92	0.6905347904
93	0.6904962842
94	0.6904715837
95	0.6904715165
96	0.6904535714
97	0.6904414153
98	0.6904225025
99	0.6904114719
100	0.6903996669
101	0.6903633531
102	0.6903529654
103	0.6903308996
104	0.6903068813
105	0.6902734134
106	0.6902545883
107	0.690216764
108	0.6901983446
109	0.6901787697
110	0.6901554536
111	0.6901182754
112	0.6900866963
113	0.6900650566
114	0.6900397045
115	0.6900127923
116	0.6899862792
117	0.6899694107
118	0.6899514818
119	0.6899353393
120	0.6898986709
121	0.6898803506
122	0.6898676978
123	0.689832854
124	0.689800196
125	0.6897688023
126	0.6897373744
127	0.6897215296
128	0.6897011931
129	0.6896807149
130	0.6896684345
131	0.6896569816
132	0.6896459875
133	0.6896248611
134	0.6895955761
135	0.6895802344
136	0.6895551269
137	0.689539821
138	0.689515021
139	0.6895030177
140	0.6894805323
141	0.6894638673
142	0.6894523314
143	0.6894309504
144	0.6894199705
145	0.6893944803
146	0.6893635132
147	0.6893280376
148	0.6892995626
149	0.689264989
150	0.6892420816
151	0.689222535
152	0.6892201866
153	0.689201226
154	0.6891600578
155	0.6891330111
156	0.6891156371
157	0.6890845247
158	0.6890443781
159	0.6890204761
160	0.689008908
161	0.6889823364
162	0.688949801
163	0.6889341405
164	0.6889066257
165	0.6888920782
166	0.6888667623
167	0.6888346981
168	0.6888093331
169	0.6887813892
170	0.6887573569
171	0.6887400953
172	0.6887077901
173	0.6886762651
174	0.6886459508
175	0.6886193728
176	0.6885977266
177	0.6885707914
178	0.6885487154
179	0.6885199365
180	0.688483593
181	0.688453553
182	0.6884264848
183	0.6884099979
184	0.688380764
185	0.6883490551
186	0.6883102638
187	0.688287998
188	0.6882638473
189	0.6882336581
190	0.6881925167
191	0.688172785
192	0.6881448066
193	0.688121524
194	0.6880960504
195	0.6880616259
196	0.6880280641
197	0.6879907185
198	0.6879693459
199	0.6879362273
200	0.6879018091
201	0.6878808955
202	0.6878428827
203	0.6878057978
204	0.6877783622
205	0.6877496972
206	0.6877128512
207	0.6876770168
208	0.6876393552
209	0.6876013445
210	0.6875693633
211	0.6875471143
212	0.6875072361
213	0.6874686557
214	0.6874363091
215	0.6873986904
216	0.6873637105
217	0.6873263816
218	0.6872923911
219	0.6872687034
220	0.6872486127
221	0.6872116362
222	0.6871875739
223	0.6871570304
224	0.6871277542
225	0.6870885203
226	0.6870661598
227	0.6870311
228	0.686992503
229	0.6869610319
230	0.6869278243
231	0.6868839544
232	0.6868419231
233	0.6868196213
234	0.6867967495
235	0.6867635189
236	0.6867392211
237	0.6867033955
238	0.686669438
239	0.6866387545
240	0.6866174119
241	0.6865983482
242	0.6865649889
243	0.6865268223
244	0.6864893055
245	0.6864583412
246	0.6864318343
247	0.6864071233
248	0.6863785737
249	0.6863526563
250	0.6863186964
251	0.6862817988
252	0.6862572955
253	0.6862252205
254	0.6861930702
255	0.686165624
256	0.6861445478
257	0.6861163265
258	0.686085029
259	0.6860495264
260	0.6860151995
261	0.6859837487
262	0.6859555012
263	0.6859263715
264	0.6858982155
265	0.6858773591
266	0.6858425517
267	0.6858039143
268	0.6857758693
269	0.6857471991
270	0.68571686
271	0.6856973015
272	0.6856672204
273	0.6856335621
274	0.6856176414
275	0.6855898387
276	0.685568558
277	0.6855398041
278	0.6854976836
279	0.685466488
280	0.6854196778
281	0.6853944305
282	0.685367984
283	0.6853453701
284	0.6853238217
285	0.6852998628
286	0.6852765471
287	0.6852450639
288	0.685218706
289	0.6851895154
290	0.68516638
291	0.6851401
292	0.685108822
293	0.6850841886
294	0.6850357976
295	0.685004413
296	0.6849698982
297	0.6849380301
298	0.6849049265
299	0.6848846859
300	0.6848465461
301	0.6848110437
302	0.6847603133
303	0.6847332395
304	0.6847073779
305	0.684670687
306	0.68463861
307	0.684609861
308	0.684589918
309	0.684567412
310	0.6845355887
311	0.6845074689
312	0.6844859969
313	0.6844599942
314	0.6844261753
315	0.6843924688
316	0.6843701052
317	0.6843418594
318	0.6843150965
319	0.684296831
320	0.6842729083
321	0.6842471099
322	0.684228184
323	0.6842034899
324	0.6841676948
325	0.6841494984
326	0.6841259009
327	0.684102296
328	0.684063896
329	0.6840316635
330	0.6840058183
331	0.6839760832
332	0.6839562912
333	0.6839256839
334	0.6838917938
335	0.6838625515
336	0.6838338866
337	0.6837911005
338	0.6837643304
339	0.6837381865
340	0.6837155668
341	0.6836841143
342	0.6836595202
343	0.6836330185
344	0.6836036455
345	0.6835860733
346	0.6835439651
347	0.6835157032
348	0.6834808665
349	0.6834441697
350	0.6834072093
351	0.6833812802
352	0.6833553368
353	0.6833310366
354	0.6833078955
355	0.6832839588
356	0.6832537343
357	0.6832251429
358	0.6832077048
359	0.6831773246
360	0.6831459782
361	0.6831151005
362	0.6830922619
363	0.683069263
364	0.6830247287
365	0.6830056184
366	0.6829775428
367	0.6829554918
368	0.6829178935
369	0.6828860961
370	0.682861879
371	0.6828357574
372	0.6828037553
373	0.6827683401
374	0.6827394476
375	0.6827003489
376	0.6826752888
377	0.6826426443
378	0.6826108203
379	0.6825853633
380	0.6825563806
381	0.6825236988
382	0.682499646
383	0.6824769465
384	0.6824548586
385	0.6824303213
386	0.68239861
387	0.6823689
388	0.6823445793
389	0.682319531
390	0.6823016219
391	0.682277605
392	0.682251801
393	0.6822295432
394	0.6821969895
395	0.6821648686
396	0.6821418358
397	0.6821147264
398	0.6820968421
399	0.6820736724
400	0.6820440231
401	0.6820343562
402	0.6820109052
403	0.681988518
404	0.6819713253
405	0.6819341094
406	0.681910582
407	0.681887667
408	0.681856507
409	0.6818349018
410	0.6818112574
411	0.6817907363
412	0.6817650842
413	0.6817396699
414	0.6817116641
415	0.6816847945
416	0.6816612936
417	0.6816372161
418	0.6816048306
419	0.6815840856
420	0.6815587676
421	0.6815454769
422	0.6815184964
423	0.6814886847
424	0.681471382
425	0.6814372487
426	0.6814142814
427	0.6813890239
428	0.6813729086
429	0.6813422685
430	0.6813172565
431	0.681299535
432	0.6812769132
433	0.6812538954
434	0.6812368466
435	0.6812176229
436	0.6811966975
437	0.6811718779
438	0.6811540753
439	0.68111839
440	0.6810980864
441	0.681055713
442	0.6810345948
443	0.6810186879
444	0.680993824
445	0.680965209
446	0.6809261431
447	0.6808950744
448	0.6808595802
449	0.6808323693
450	0.6808067523
451	0.680787836
452	0.6807657705
453	0.6807468
454	0.6807130054
455	0.6806891497
456	0.6806644681
457	0.6806428148
458	0.680620651
459	0.6805995764
460	0.6805805111
461	0.6805562845
462	0.6805336447
463	0.6805131078
464	0.6804931278
465	0.6804675394
466	0.6804465175
467	0.6804180476
468	0.6803884132
469	0.6803675586
470	0.6803472898
471	0.680324915
472	0.6802950268
473	0.6802623057
474	0.6802314923
475	0.6802014601
476	0.6801712381
477	0.6801512864
478	0.6801318448
479	0.6801034203
480	0.6800733637
481	0.6800464369
482	0.6800247926
483	0.6799988855
484	0.6799846066
485	0.6799554715
486	0.6799207399
487	0.6798882153
488	0.6798654684
489	0.6798384276
490	0.6798174794
491	0.6797999503
492	0.6797696036
493	0.6797436379
494	0.679720954
495	0.6796969721
496	0.6796763247
497	0.6796401992
498	0.6796165562
499	0.6795848389
500	0.6795574297
501	0.6795333358
502	0.6795100725
503	0.679473673
504	0.6794538749
505	0.6794313595
506	0.6794134622
507	0.6793762621
508	0.6793547958
509	0.6793249045
510	0.6792913377
511	0.6792571358
512	0.6792391153
513	0.6792151154
514	0.6791854427
515	0.6791629355
516	0.6791265207
517	0.6790913522
518	0.6790693903
519	0.6790374656
520	0.6790089041
521	0.6789856327
522	0.6789507695
523	0.6789222787
524	0.6789011833
525	0.6788757645
526	0.6788423249
527	0.6788156014
528	0.678787791
529	0.6787589054
530	0.6787226965
531	0.6787011555
532	0.678673118
533	0.6786450923
534	0.6786224587
535	0.6786035247
536	0.6785816447
537	0.6785625459
538	0.6785330094
539	0.6785195032
540	0.6784938357
541	0.6784728365
542	0.6784545
543	0.6784242658
544	0.6783983407
545	0.6783764138
546	0.6783407205
547	0.6783205118
548	0.6782925633
549	0.6782764787
550	0.6782432501
551	0.6782221819
552	0.6781970345
553	0.6781727428
554	0.6781586531
555	0.6781390885
556	0.6780984671
557	0.6780637676
558	0.6780413342
559	0.6780184386
