iter	Passed	Remaining
0	66	66488
1	71	35757
2	75	25110
3	79	19839
4	83	16628
5	87	14413
6	89	12733
7	93	11591
8	96	10653
9	100	9907
10	103	9266
11	106	8785
12	109	8351
13	113	7972
14	116	7660
15	119	7372
16	122	7106
17	126	6915
18	129	6701
19	133	6517
20	136	6351
21	139	6209
22	142	6064
23	146	5964
24	150	5852
25	154	5781
26	157	5691
27	161	5608
28	165	5537
29	169	5477
30	173	5412
31	176	5354
32	180	5301
33	183	5219
34	187	5173
35	191	5115
36	195	5078
37	199	5047
38	202	4987
39	207	4969
40	211	4941
41	216	4928
42	219	4892
43	224	4866
44	228	4845
45	231	4807
46	236	4793
47	243	4836
48	247	4807
49	251	4782
50	255	4759
51	260	4744
52	263	4716
53	267	4694
54	271	4665
55	275	4644
56	279	4623
57	282	4595
58	286	4570
59	290	4549
60	294	4525
61	297	4500
62	300	4476
63	304	4451
64	308	4432
65	311	4410
66	315	4392
67	319	4380
68	323	4360
69	327	4344
70	330	4325
71	334	4309
72	337	4291
73	341	4279
74	345	4266
75	349	4249
76	352	4225
77	356	4213
78	359	4194
79	363	4176
80	366	4154
81	369	4142
82	373	4122
83	377	4113
84	380	4096
85	384	4082
86	387	4064
87	392	4065
88	396	4059
89	400	4051
90	405	4048
91	408	4034
92	412	4022
93	415	4005
94	419	3992
95	421	3969
96	425	3962
97	429	3952
98	432	3938
99	436	3930
100	440	3920
101	444	3917
102	448	3906
103	451	3892
104	455	3882
105	459	3871
106	462	3857
107	466	3851
108	469	3837
109	472	3826
110	476	3814
111	480	3807
112	483	3798
113	487	3788
114	490	3777
115	494	3768
116	498	3760
117	501	3747
118	504	3736
119	508	3725
120	511	3718
121	515	3707
122	518	3699
123	522	3690
124	526	3682
125	529	3674
126	533	3668
127	536	3656
128	541	3653
129	544	3642
130	547	3632
131	551	3624
132	554	3614
133	558	3606
134	562	3601
135	565	3591
136	569	3586
137	573	3580
138	576	3573
139	580	3564
140	583	3556
141	587	3550
142	591	3546
143	595	3542
144	599	3536
145	603	3528
146	607	3523
147	610	3517
148	614	3512
149	618	3505
150	622	3497
151	626	3495
152	629	3484
153	633	3479
154	637	3473
155	641	3468
156	644	3461
157	648	3456
158	652	3450
159	656	3445
160	659	3437
161	663	3432
162	667	3427
163	671	3420
164	675	3416
165	678	3407
166	682	3404
167	686	3400
168	690	3394
169	694	3392
170	698	3386
171	702	3382
172	706	3377
173	710	3373
174	714	3369
175	718	3362
176	723	3362
177	727	3357
178	731	3353
179	735	3352
180	740	3348
181	744	3345
182	748	3341
183	751	3333
184	756	3332
185	760	3328
186	765	3327
187	768	3320
188	772	3315
189	776	3310
190	780	3305
191	784	3303
192	790	3304
193	794	3301
194	799	3300
195	803	3297
196	807	3292
197	812	3289
198	821	3307
199	826	3307
200	831	3305
201	836	3305
202	840	3300
203	844	3295
204	848	3288
205	851	3282
206	855	3276
207	859	3271
208	862	3264
209	866	3260
210	870	3256
211	874	3250
212	877	3243
213	881	3236
214	885	3232
215	888	3225
216	892	3220
217	896	3215
218	900	3210
219	904	3205
220	907	3198
221	910	3192
222	914	3187
223	918	3181
224	922	3176
225	926	3171
226	929	3164
227	933	3160
228	938	3158
229	942	3155
230	947	3154
231	951	3149
232	955	3145
233	959	3139
234	962	3134
235	967	3131
236	970	3124
237	974	3120
238	981	3124
239	987	3127
240	991	3124
241	995	3119
242	999	3114
243	1003	3108
244	1007	3103
245	1010	3098
246	1015	3094
247	1018	3089
248	1022	3085
249	1027	3081
250	1032	3081
251	1036	3077
252	1041	3076
253	1046	3072
254	1049	3067
255	1053	3063
256	1057	3057
257	1061	3052
258	1064	3046
259	1068	3042
260	1073	3038
261	1076	3033
262	1080	3028
263	1084	3022
264	1087	3017
265	1091	3011
266	1095	3007
267	1098	3001
268	1102	2997
269	1106	2991
270	1110	2986
271	1113	2980
272	1117	2975
273	1121	2970
274	1125	2965
275	1129	2962
276	1133	2958
277	1137	2954
278	1141	2949
279	1145	2944
280	1149	2941
281	1153	2936
282	1157	2931
283	1160	2925
284	1164	2921
285	1168	2916
286	1172	2911
287	1175	2906
288	1180	2903
289	1184	2899
290	1188	2895
291	1192	2890
292	1195	2885
293	1199	2880
294	1203	2876
295	1207	2871
296	1211	2867
297	1215	2862
298	1219	2858
299	1223	2855
300	1227	2851
301	1232	2848
302	1236	2843
303	1240	2839
304	1244	2836
305	1248	2832
306	1253	2828
307	1257	2825
308	1261	2821
309	1265	2817
310	1270	2814
311	1273	2808
312	1277	2804
313	1281	2799
314	1285	2795
315	1289	2790
316	1293	2785
317	1296	2780
318	1300	2776
319	1304	2771
320	1308	2766
321	1312	2763
322	1315	2758
323	1319	2752
324	1323	2747
325	1327	2744
326	1331	2741
327	1335	2736
328	1339	2732
329	1343	2727
330	1347	2723
331	1350	2718
332	1354	2713
333	1359	2710
334	1363	2707
335	1368	2704
336	1372	2699
337	1376	2696
338	1380	2692
339	1385	2689
340	1389	2684
341	1393	2680
342	1396	2674
343	1400	2670
344	1404	2665
345	1407	2660
346	1411	2655
347	1414	2651
348	1418	2646
349	1422	2642
350	1427	2639
351	1431	2634
352	1435	2630
353	1438	2625
354	1442	2621
355	1446	2616
356	1449	2611
357	1453	2605
358	1457	2601
359	1461	2597
360	1465	2593
361	1468	2588
362	1472	2583
363	1475	2578
364	1479	2573
365	1483	2569
366	1486	2564
367	1490	2560
368	1494	2556
369	1498	2551
370	1502	2547
371	1506	2543
372	1510	2538
373	1514	2534
374	1518	2530
375	1522	2526
376	1526	2522
377	1530	2518
378	1534	2514
379	1538	2509
380	1542	2505
381	1545	2500
382	1549	2496
383	1553	2491
384	1556	2487
385	1560	2482
386	1564	2477
387	1567	2472
388	1571	2468
389	1576	2465
390	1581	2462
391	1585	2459
392	1589	2455
393	1593	2450
394	1597	2447
395	1601	2442
396	1605	2438
397	1608	2433
398	1612	2429
399	1617	2425
400	1621	2422
401	1625	2418
402	1629	2413
403	1633	2409
404	1637	2406
405	1641	2401
406	1645	2397
407	1649	2392
408	1652	2388
409	1656	2383
410	1660	2379
411	1663	2374
412	1667	2369
413	1671	2365
414	1675	2361
415	1678	2356
416	1682	2352
417	1686	2348
418	1690	2343
419	1693	2339
420	1697	2334
421	1700	2329
422	1704	2325
423	1708	2320
424	1712	2317
425	1716	2313
426	1721	2309
427	1725	2305
428	1728	2301
429	1732	2296
430	1736	2292
431	1740	2287
432	1743	2282
433	1746	2278
434	1750	2273
435	1753	2268
436	1757	2264
437	1761	2260
438	1765	2255
439	1769	2252
440	1773	2248
441	1778	2244
442	1782	2240
443	1785	2235
444	1789	2231
445	1793	2227
446	1797	2223
447	1801	2219
448	1805	2215
449	1809	2211
450	1813	2207
451	1819	2205
452	1823	2202
453	1827	2197
454	1831	2193
455	1835	2189
456	1838	2184
457	1842	2180
458	1846	2176
459	1850	2172
460	1854	2168
461	1858	2164
462	1862	2160
463	1866	2155
464	1870	2151
465	1873	2146
466	1877	2142
467	1881	2138
468	1885	2134
469	1888	2130
470	1892	2125
471	1896	2121
472	1899	2116
473	1903	2112
474	1907	2108
475	1911	2104
476	1916	2101
477	1920	2097
478	1924	2093
479	1928	2088
480	1932	2084
481	1935	2080
482	1939	2075
483	1943	2071
484	1947	2067
485	1950	2063
486	1959	2064
487	1963	2060
488	1966	2055
489	1970	2051
490	1974	2047
491	1979	2043
492	1983	2040
493	1988	2036
494	1992	2033
495	1996	2029
496	2000	2024
497	2005	2021
498	2009	2017
499	2013	2013
500	2017	2009
501	2021	2005
502	2025	2001
503	2029	1996
504	2032	1992
505	2036	1988
506	2040	1984
507	2044	1980
508	2048	1975
509	2051	1971
510	2055	1967
511	2059	1963
512	2063	1958
513	2066	1954
514	2070	1950
515	2074	1945
516	2078	1941
517	2082	1937
518	2086	1933
519	2089	1928
520	2093	1924
521	2096	1919
522	2100	1915
523	2104	1911
524	2108	1907
525	2112	1903
526	2116	1899
527	2120	1895
528	2123	1890
529	2127	1886
530	2131	1882
531	2135	1878
532	2138	1874
533	2142	1869
534	2146	1866
535	2150	1861
536	2154	1857
537	2157	1852
538	2163	1850
539	2167	1846
540	2171	1842
541	2175	1838
542	2180	1835
543	2183	1830
544	2187	1826
545	2191	1822
546	2195	1818
547	2200	1814
548	2203	1810
549	2208	1806
550	2212	1803
551	2217	1799
552	2221	1795
553	2224	1791
554	2228	1786
555	2231	1782
556	2235	1778
557	2239	1773
558	2243	1770
559	2247	1765
560	2251	1761
561	2255	1757
562	2259	1753
563	2263	1749
564	2267	1745
565	2270	1741
566	2274	1736
567	2278	1732
568	2282	1728
569	2286	1724
570	2289	1720
571	2293	1716
572	2297	1712
573	2300	1707
574	2304	1703
575	2309	1699
576	2313	1695
577	2317	1691
578	2320	1687
579	2324	1683
580	2327	1678
581	2331	1674
582	2335	1670
583	2339	1666
584	2343	1662
585	2347	1658
586	2350	1654
587	2354	1649
588	2358	1645
589	2362	1641
590	2365	1637
591	2369	1633
592	2374	1629
593	2378	1625
594	2382	1621
595	2386	1617
596	2389	1613
597	2394	1609
598	2398	1605
599	2402	1601
600	2406	1597
601	2409	1593
602	2413	1589
603	2417	1585
604	2421	1580
605	2425	1576
606	2429	1572
607	2432	1568
608	2436	1564
609	2440	1560
610	2444	1556
611	2448	1552
612	2452	1548
613	2455	1543
614	2459	1539
615	2463	1535
616	2467	1531
617	2470	1527
618	2474	1523
619	2478	1518
620	2482	1514
621	2485	1510
622	2489	1506
623	2493	1502
624	2497	1498
625	2500	1494
626	2506	1490
627	2510	1486
628	2514	1483
629	2518	1479
630	2522	1475
631	2526	1471
632	2530	1466
633	2533	1462
634	2537	1458
635	2541	1454
636	2544	1450
637	2549	1446
638	2552	1442
639	2556	1438
640	2559	1433
641	2563	1429
642	2567	1425
643	2572	1421
644	2576	1418
645	2580	1414
646	2584	1410
647	2588	1405
648	2591	1401
649	2595	1397
650	2599	1393
651	2604	1390
652	2608	1386
653	2612	1381
654	2616	1378
655	2620	1374
656	2623	1369
657	2627	1365
658	2631	1361
659	2635	1357
660	2638	1353
661	2642	1349
662	2646	1345
663	2650	1341
664	2653	1336
665	2657	1332
666	2661	1328
667	2665	1324
668	2668	1320
669	2672	1316
670	2676	1312
671	2680	1308
672	2684	1304
673	2688	1300
674	2691	1296
675	2695	1291
676	2700	1288
677	2704	1284
678	2708	1280
679	2711	1276
680	2715	1271
681	2719	1267
682	2722	1263
683	2726	1259
684	2730	1255
685	2734	1251
686	2738	1247
687	2741	1243
688	2745	1239
689	2748	1234
690	2752	1230
691	2756	1226
692	2760	1222
693	2764	1218
694	2769	1215
695	2774	1211
696	2778	1207
697	2782	1203
698	2786	1199
699	2789	1195
700	2794	1191
701	2798	1187
702	2803	1184
703	2807	1180
704	2811	1176
705	2815	1172
706	2819	1168
707	2822	1164
708	2826	1160
709	2830	1156
710	2834	1152
711	2838	1147
712	2842	1144
713	2845	1139
714	2849	1135
715	2853	1131
716	2857	1127
717	2861	1123
718	2864	1119
719	2868	1115
720	2872	1111
721	2876	1107
722	2879	1103
723	2882	1099
724	2886	1094
725	2890	1090
726	2894	1086
727	2898	1083
728	2903	1079
729	2906	1075
730	2910	1071
731	2914	1067
732	2918	1062
733	2922	1058
734	2925	1054
735	2929	1050
736	2933	1046
737	2937	1042
738	2941	1038
739	2944	1034
740	2948	1030
741	2952	1026
742	2956	1022
743	2959	1018
744	2963	1014
745	2968	1010
746	2972	1006
747	2976	1002
748	2980	998
749	2984	994
750	2988	990
751	2992	986
752	2996	983
753	3000	979
754	3004	974
755	3007	970
756	3011	966
757	3015	962
758	3019	958
759	3022	954
760	3026	950
761	3029	946
762	3033	942
763	3037	938
764	3041	934
765	3044	930
766	3048	926
767	3052	922
768	3056	918
769	3059	913
770	3063	910
771	3067	905
772	3071	901
773	3075	897
774	3078	893
775	3083	889
776	3086	885
777	3090	881
778	3095	878
779	3099	874
780	3102	870
781	3106	866
782	3110	862
783	3114	858
784	3118	854
785	3121	849
786	3125	845
787	3129	841
788	3133	837
789	3136	833
790	3140	829
791	3144	825
792	3147	821
793	3151	817
794	3155	813
795	3159	809
796	3163	805
797	3168	802
798	3172	798
799	3177	794
800	3181	790
801	3185	786
802	3189	782
803	3193	778
804	3197	774
805	3201	770
806	3205	766
807	3208	762
808	3212	758
809	3216	754
810	3220	750
811	3224	746
812	3228	742
813	3232	738
814	3235	734
815	3239	730
816	3243	726
817	3246	722
818	3249	718
819	3253	714
820	3257	710
821	3261	706
822	3264	702
823	3268	698
824	3272	694
825	3276	690
826	3280	686
827	3284	682
828	3288	678
829	3292	674
830	3296	670
831	3300	666
832	3303	662
833	3308	658
834	3311	654
835	3315	650
836	3319	646
837	3323	642
838	3327	638
839	3330	634
840	3334	630
841	3338	626
842	3341	622
843	3350	619
844	3353	615
845	3357	611
846	3361	607
847	3365	603
848	3369	599
849	3374	595
850	3378	591
851	3382	587
852	3387	583
853	3391	579
854	3395	575
855	3398	571
856	3402	567
857	3406	563
858	3410	559
859	3413	555
860	3416	551
861	3420	547
862	3424	543
863	3428	539
864	3432	535
865	3436	531
866	3439	527
867	3443	523
868	3447	519
869	3451	515
870	3455	511
871	3459	507
872	3463	503
873	3466	499
874	3470	495
875	3474	491
876	3478	487
877	3482	483
878	3487	480
879	3492	476
880	3495	472
881	3499	468
882	3503	464
883	3507	460
884	3511	456
885	3515	452
886	3518	448
887	3522	444
888	3527	440
889	3530	436
890	3534	432
891	3539	428
892	3542	424
893	3552	421
894	3555	417
895	3559	413
896	3563	409
897	3567	405
898	3572	401
899	3576	397
900	3580	393
901	3585	389
902	3588	385
903	3592	381
904	3596	377
905	3600	373
906	3604	369
907	3608	365
908	3612	361
909	3615	357
910	3619	353
911	3623	349
912	3627	345
913	3630	341
914	3634	337
915	3638	333
916	3642	329
917	3646	325
918	3650	321
919	3653	317
920	3657	313
921	3660	309
922	3664	305
923	3668	301
924	3672	297
925	3676	293
926	3679	289
927	3683	285
928	3688	281
929	3691	277
930	3695	273
931	3699	269
932	3703	265
933	3706	261
934	3710	257
935	3714	253
936	3718	250
937	3722	246
938	3725	242
939	3730	238
940	3733	234
941	3737	230
942	3741	226
943	3745	222
944	3754	218
945	3758	214
946	3762	210
947	3766	206
948	3772	202
949	3776	198
950	3782	194
951	3788	191
952	3793	187
953	3797	183
954	3802	179
955	3806	175
956	3811	171
957	3816	167
958	3822	163
959	3827	159
960	3831	155
961	3835	151
962	3840	147
963	3845	143
964	3849	139
965	3853	135
966	3858	131
967	3862	127
968	3866	123
969	3870	119
970	3874	115
971	3878	111
972	3883	107
973	3888	103
974	3892	99
975	3897	95
976	3901	91
977	3905	87
978	3909	83
979	3913	79
980	3917	75
981	3921	71
982	3925	67
983	3929	63
984	3933	59
985	3937	55
986	3941	51
987	3945	47
988	3949	43
989	3953	39
990	3957	35
991	3962	31
992	3966	27
993	3970	23
994	3974	19
995	3979	15
996	3983	11
997	3987	7
998	3990	3
999	3995	0
